rank,wallet,hl_realized_pnl_usd,winrate,active_days,fills,fills_per_day,avg_fill_usd,spot_pct,quality_score,tags,cross_chain
70,0x0506b97ac63244ccc824d152c77d2b99d7c17a14,313729,0.664,82,6642,81,12267,0,967,,
71,0xfbc9638938262f15cc1b3a751a54d538559da361,155884,0.875,100,10183,102,315,0,932,,
72,0x381fe486d87c7f2633c777f1b5be3105a2a51744,664355,0.772,50,4583,92,7119,13,932,,
73,0x569870903c3ef9768427135f907cb80376d1a3e0,404236,0.7,102,24486,240,1066,0,925,,
74,0x14246f4bbafb87ccebac17609054c6a188ed8cfd,566632,0.657,68,9195,135,4543,2,912,,
75,0x747b1125d08a5a2cf33550cbb038e406ebf241ad,487032,0.681,71,9759,137,4114,2,899,,
76,0x7e19c25679a5f4cc1351e80d428ebe6df929adb1,477782,0.549,103,28384,276,655,0,890,,
77,0x913b6bfaffcc18db65dc9a6bdde6cd5365e0ef92,312993,0.642,90,15867,176,3721,0,886,,
78,0xf48111d547f8de8f37fd68bc8b971a5a57019825,368734,0.528,77,6888,89,2412,55,879,,
79,0x970b206f3bfb86f06581bbec04dd2e703266fe84,368013,0.672,80,12196,152,1021,53,875,,
80,0x6c237281c28b1de394b3418c9a59f7cf22f372ce,196755,0.769,86,7479,87,2428,4,870,,
81,0x5ab4c45896687bab14bbf73b78765e6dfac795ac,371756,0.91,81,18802,232,1795,0,870,,
82,0x76cc23e665193f4592a9a5a5a37ce3dbe929b5ae,174500,0.701,99,4552,46,2944,0,869,,
83,0x27388d079cb5cf1ad50f60ab4c260356449bf92b,371476,0.635,69,5526,80,1875,5,866,,
84,0x096eceb86a9d9a2baa07315464daaa84d0cc07d1,274857,0.861,104,23719,228,3362,0,858,,
85,0xe43b4fe3779328b044849bcf7043c46aa86ab5b0,161774,0.838,87,3037,35,1318,26,838,,
86,0x72abc60e799f5c90925a13319f9ad11f5583bee4,172275,0.656,102,4860,48,3454,2,834,,
87,0x44d27e0d4aee5af28d44c2dd542ca1e099e95133,169511,0.65,101,7857,78,1069,6,823,,
88,0x15c8a479139a2e195b37790ace4870d1f2be045f,192083,0.779,98,15287,156,338,6,822,,
89,0x98785f2a43fe32f972476b86ed5a5cfaf5240f00,262276,0.579,103,19423,189,3818,3,821,,
90,0x2c5dc7e67fce4bc252221c46c1cdc7651838b2d8,523463,0.625,55,6085,111,1914,0,812,HL-tagged,
91,0xe1b4e4d6320c65748a1900cf0329cb7221959d8a,238756,0.661,79,8663,110,2171,3,811,,
92,0x75d0051e8bb42fa53ef1be9951963a69ad1adf0a,327890,0.654,98,26329,269,918,0,804,,
93,0xf97ad6704baec104d00b88e0c157e2b7b3a1ddd1,305988,0.686,108,25895,240,3165,4,797,,
94,0x037919a275ddc336d024fa489c462d19c949838e,136929,0.735,98,7148,73,1242,3,791,,
95,0xc201f6eb6c95bad5b7a8e90667c8806cc6180b40,408594,0.746,55,5132,93,1787,67,789,,
96,0x8524d618cdebdd5a066f1ba38e0c44a7122d2d8e,133951,0.745,102,3534,35,631,0,788,,
97,0x9d6468a5ab22fb02f990a778039443d264ef31fe,274713,0.74,104,22890,220,1508,0,787,,
98,0x83f9daccd2ce1a71e4965a28fc898e4d41af7092,368504,0.815,55,1999,36,4073,3,787,,
99,0xfb184022457cdabaa2f39ccaa7bcb231a410a767,124850,0.874,90,4500,50,1352,9,781,,
100,0x8230cf5bc3de7f18889fabdb8e649b3c45ff3650,395635,0.637,86,22679,264,3299,0,781,,
